#separator:Comma
#html:true
#columns:Question,Answer,Tags
#tags column:3
"Headless libraries own ARIA and keyboard behavior …","Headless libraries own ARIA and keyboard behavior — prefer them over hand-rolling for accessibility compliance.","ReactInterview::14-react-patterns"
"The best pattern is the one …","The best pattern is the one your team can read, extend, and delete without a comment explaining why it exists.","ReactInterview::14-react-patterns"
"Fetch rejects on network error or HTTP error?","Network error only. Check <code>res.ok</code> for HTTP errors.","ReactInterview::15-data-fetching"
"<code>staleTime: 0</code> means what?","Data is immediately stale — TanStack Query will background-refetch on every mount and focus. Default behavior.","ReactInterview::15-data-fetching"
"What&#x27;s the ignore-flag pattern?","A <code>let cancelled = false</code> variable in <code>useEffect</code> that prevents state updates from stale async callbacks after cleanup runs.","ReactInterview::15-data-fetching"
"SSE vs WebSocket for a notification feed?","SSE — unidirectional, simpler, automatic reconnect, HTTP compatible.","ReactInterview::15-data-fetching"
"How do you prevent a mutation from running twice on double-click?","<code>mutation.isPending</code> — disable the button while a mutation is in flight.","ReactInterview::15-data-fetching"
"What is <code>gcTime: 0</code>?","Cache entries are removed immediately when all subscribers unmount — effectively disables caching.","ReactInterview::15-data-fetching"
"When should you use <code>queryClient.setQueryData</code> directly?","After a successful mutation when you already have the updated server response — avoids a redundant refetch.","ReactInterview::15-data-fetching"
"What HTTP method should retries be careful with?","POST — not idempotent. Use idempotency keys or only retry on network errors, not on response errors.","ReactInterview::15-data-fetching"
"Render-as-you-fetch requires what?","A Suspense boundary and either <code>use()</code> (React 19), <code>useSuspenseQuery</code>, or a Suspense-compatible library.","ReactInterview::15-data-fetching"
"How do you share a single WebSocket across components?","Via a singleton (module-level or context), not per-component <code>useEffect</code>. Feed updates through <code>useSyncExternalStore</code>.","ReactInterview::15-data-fetching"
"What is the difference between <code>&lt;Link&gt;</code> and <code>&lt;a&gt;</code>?","<code>&lt;Link&gt;</code> intercepts clicks and uses <code>pushState</code>; <code>&lt;a&gt;</code> triggers a full page reload.","ReactInterview::16-routing"
"What does <code>replace</code> do in <code>navigate(&#x27;/path&#x27;, { replace: true })</code>?","Replaces the current history entry instead of pushing a new one — the back button skips over it.","ReactInterview::16-routing"
"What is an index route?","A child route with no path that renders at the parent&#x27;s exact URL — the default child.","ReactInterview::16-routing"
"Why must you wrap <code>&lt;Suspense&gt;</code> around lazy routes?","React throws a Promise on first render of a lazy component; Suspense catches it and shows the fallback until the chunk resolves.","ReactInterview::16-routing"
"What is the difference between <code>errorElement</code> and a try/catch in a loader?","<code>errorElement</code> renders when the loader throws or rejects; try/catch lets the loader return a partial result instead of blowing up the route.","ReactInterview::16-routing"
"Can loaders run in parallel?","Yes — sibling route loaders run concurrently; child loaders start only after their parent loader resolves (unless you <code>defer</code>).","ReactInterview::16-routing"
"How does <code>NavLink</code> differ from <code>Link</code>?","<code>NavLink</code> receives an <code>isActive</code> / <code>isPending</code> callback so you can apply active styles without manual location comparison.","ReactInterview::16-routing"
"What is a splat route (<code>path: &#x27;*&#x27;</code>)?","Matches any path not caught by earlier routes — use it for 404 pages.","ReactInterview::16-routing"
"Can you use React Router with React Native?","Not directly — use <code>react-router-native</code> or React Navigation for mobile.","ReactInterview::16-routing"
"What does <code>useRouteError</code> do?","Accesses the error thrown in a loader, action, or child component inside an <code>errorElement</code>.","ReactInterview::16-routing"
"Barrel files (index.ts) — good or bad?","Good for enforcing public API boundaries. Bad when they include large unused exports that prevent tree-shaking. Use with bundler analysis.","ReactInterview::17-frontend-architecture"
"When does a component belong in shared vs a feature?","Shared when 3+ features need it and it has no domain knowledge. Otherwise, start in the feature.","ReactInterview::17-frontend-architecture"
"How do you prevent shared from becoming a dumping ground?","Contribution gate: PR requires 2 reviewers from different teams, no domain types allowed.","ReactInterview::17-frontend-architecture"
"Monorepo vs polyrepo for a team of 8?","Monorepo with Turborepo if you have more than one app sharing code. Polyrepo if apps are truly independent.","ReactInterview::17-frontend-architecture"
"Is FSD worth adopting?","Worth it for teams 15+ engineers who will invest in tooling and education. For smaller teams, by-feature with a shared layer delivers the same result with less ceremony.","ReactInterview::17-frontend-architecture"
"Micro frontends for a team of 20?","Almost certainly no. Build a well-structured monorepo first.","ReactInterview::17-frontend-architecture"
"Where do feature flags live?","In <code>shared/flags/</code> behind a typed hook. Features never import the flag SDK directly.","ReactInterview::17-frontend-architecture"
"How do you enforce module boundaries in CI?","<code>eslint-plugin-boundaries</code> fails the lint step on invalid imports. <code>dependency-cruiser</code> generates a visual graph and can be configured to fail on rule violations.","ReactInterview::17-frontend-architecture"
"Storybook vs unit tests — which do you choose?","Both serve different purposes. Storybook catches visual and a11y regressions; unit tests catch logic errors. Interaction tests in Storybook can replace some integration tests for UI flows.","ReactInterview::17-frontend-architecture"
"How do you handle breaking changes to a shared component?","Semantic versioning + Changesets for changelog. Codemods for automated migration when possible. Deprecation period with console warnings before removal.","ReactInterview::17-frontend-architecture"
"What&#x27;s the difference between <code>DOMContentLoaded</code> and <code>load</code>?","<code>DOMContentLoaded</code> fires when HTML is parsed and deferred scripts run. <code>load</code> fires after all resources (images, fonts, iframes) are fetched.","ReactInterview::18-browser-internals"
"Does <code>async</code> or <code>defer</code> help the preload scanner?","Both — the preload scanner discovers <code>&lt;script src&gt;</code> regardless, but <code>async</code>/<code>defer</code> prevents execution from blocking the parser.","ReactInterview::18-browser-internals"
"What&#x27;s the cheapest CSS animation property?","<code>opacity</code> and <code>transform</code> — both are compositor-only and skip layout and paint.","ReactInterview::18-browser-internals"
"Can you read <code>localStorage</code> from a service worker?","No — service workers have no access to <code>localStorage</code> or <code>sessionStorage</code>. Use IndexedDB or Cache API.","ReactInterview::18-browser-internals"
"What&#x27;s <code>requestIdleCallback</code> good for?","Non-urgent work after paint: analytics, pre-fetching, non-critical hydration. Not appropriate for time-sensitive or visual work.","ReactInterview::18-browser-internals"
"Why does <code>will-change: transform</code> on <code>*</code> hurt?","Each <code>will-change</code> can create a compositor layer consuming GPU memory. Promoting thousands of elements exhausts VRAM on low-end devices.","ReactInterview::18-browser-internals"
"What is QUIC?","The UDP-based transport layer under HTTP/3. Eliminates TCP head-of-line blocking and enables 0-RTT reconnection, improving performance on mobile/lossy networks.","ReactInterview::18-browser-internals"
"What triggers a reflow but NOT a repaint?","Nothing — reflow always causes at least a repaint of affected areas. The ordering is unidirectional: layout → paint → composite.","ReactInterview::18-browser-internals"
"SameSite=Lax vs Strict for auth cookies?","<code>Lax</code> allows cookies on top-level GET navigations (e.g., clicking a link) — good UX. <code>Strict</code> blocks all cross-site sending — maximum CSRF protection but users lose session when arriving from external links.","ReactInterview::18-browser-internals"
"What&#x27;s the difference between <code>preload</code> and <code>prefetch</code>?","<code>preload</code>: current page, high priority, mandatory fetch. <code>prefetch</code>: future navigation, idle priority, speculative.","ReactInterview::18-browser-internals"
"What&#x27;s the difference between a loader and a plugin in Webpack?","Loaders transform individual file types; plugins operate on the full compilation via Webpack&#x27;s tapable hooks.","ReactInterview::19-build-tools-bundlers"
"Why is <code>&quot;type&quot;: &quot;module&quot;</code> in package.json significant?","It makes all <code>.js</code> files in that package ESM. CJS files must then be named <code>.cjs</code>.","ReactInterview::19-build-tools-bundlers"
"What does <code>webpackPrefetch</code> do vs <code>webpackPreload</code>?","Prefetch fetches the chunk during browser idle for *future* navigation; preload fetches it in parallel with the current chunk (use for things needed on current page).","ReactInterview::19-build-tools-bundlers"
"esbuild is faster than Babel — why don&#x27;t we use it everywhere?","esbuild has no plugin API equivalent to Babel&#x27;s, no type checking, and less mature code splitting. It&#x27;s used where speed matters most (transforms, pre-bundling).","ReactInterview::19-build-tools-bundlers"
"What is scope hoisting?","Rollup/Webpack merge small module bodies into a single scope instead of wrapping each in a function, reducing closure overhead and enabling better minification.","ReactInterview::19-build-tools-bundlers"
"What does <code>sideEffects: false</code> in package.json mean?","Tells bundlers that importing unused exports from this package has no global side effects, enabling full tree shaking of unused modules.","ReactInterview::19-build-tools-bundlers"
"How does Vite differ in dev vs prod?","Dev: no bundling, native ESM served on demand, esbuild transforms. Prod: Rollup bundle with full optimization.","ReactInterview::19-build-tools-bundlers"
"What is Rspack?","A Rust-based Webpack replacement with API compatibility — same config, dramatically faster builds.","ReactInterview::19-build-tools-bundlers"
"How do you prevent source maps from leaking proprietary code?","Use <code>hidden-source-map</code>, upload to error monitoring service via CI, exclude <code>.map</code> files from CDN deployment.","ReactInterview::19-build-tools-bundlers"
"What breaks tree shaking most often in a real codebase?","Barrel files doing <code>export * from</code> across large component libraries, combined with packages missing <code>&quot;sideEffects&quot;: false</code>.","ReactInterview::19-build-tools-bundlers"
"What is a lockfile and why must CI use it?","A lockfile pins exact dependency versions. <code>--frozen-lockfile</code> / <code>--ci</code> fails the build if the lockfile is out of sync with <code>package.json</code>, ensuring reproducible installs.","ReactInterview::20-cicd"
"What is OIDC in GitHub Actions?","OpenID Connect lets runners assume cloud IAM roles using a short-lived JWT instead of storing long-lived secret keys.","ReactInterview::20-cicd"
"What does <code>cancel-in-progress: true</code> do?","Cancels the running workflow for the same branch when a new commit is pushed. Saves runner minutes on rapid-fire commits.","ReactInterview::20-cicd"
"What is a composite action?","A reusable GitHub Actions unit defined in a repo (action.yml) that bundles multiple steps. Lighter weight than a reusable workflow, no separate runner.","ReactInterview::20-cicd"
"What is a required status check?","A CI job that must pass before a PR can be merged, enforced by branch protection rules in GitHub repository settings.","ReactInterview::20-cicd"
"Difference between <code>vars</code> and <code>secrets</code> in GitHub Actions?","<code>vars</code> are plaintext config (API URLs, feature flag keys). <code>secrets</code> are encrypted and masked in logs (tokens, passwords).","ReactInterview::20-cicd"
"What is an atomic deploy?","The transition from old to new version happens as a single swap, never leaving the system in a partial state where some files are old and some are new.","ReactInterview::20-cicd"
"Why hash filenames?","Immutable cache forever. Changing content generates a new hash, so the CDN serves the new file automatically without cache invalidation.","ReactInterview::20-cicd"
"What is a canary deploy?","Routing a small percentage of traffic to the new version to validate before full rollout.","ReactInterview::20-cicd"
"What is flag debt?","Accumulation of stale feature flags that are permanently enabled or disabled but never removed from the codebase.","ReactInterview::20-cicd"
"What is Turborepo?","A build system for JavaScript/TypeScript monorepos that caches task outputs by content hash and runs tasks in dependency order, skipping unchanged work.","ReactInterview::20-cicd"
"What does <code>size-limit</code> do?","Analyzes the build output and fails CI if the JavaScript bundle exceeds a defined budget in bytes.","ReactInterview::20-cicd"
"What is a changeset?","A markdown file in a PR that describes the changes and their semver impact (patch/minor/major), consumed by the Changesets tool to automate versioning and changelogs.","ReactInterview::20-cicd"
"What is a Sentry release?","A named version in Sentry associated with a source map upload and deploy event, used to scope errors to specific deploys and compare error rates across releases.","ReactInterview::20-cicd"
"What causes a React re-render?","State change, parent re-render, or context value change.","ReactInterview::21-common-interview-questions"
"<code>useMemo</code> vs <code>useCallback</code>","One memoizes a value, the other a function reference — same mechanism.","ReactInterview::21-common-interview-questions"
"Microtask vs macrotask order","Microtask queue drains fully before the next macrotask runs.","ReactInterview::21-common-interview-questions"
"Stale closure fix","Use functional updater <code>setState(prev =&gt; ...)</code> or a ref for the latest value.","ReactInterview::21-common-interview-questions"
"<code>unknown</code> vs <code>any</code>","<code>any</code> disables type checking; <code>unknown</code> requires a narrowing check before use.","ReactInterview::21-common-interview-questions"
"RSC vs Client Component","RSC: zero client JS, async data, no hooks. Client: interactive, hooks, browser APIs.","ReactInterview::21-common-interview-questions"
"Index-as-key bug","Causes React to destroy and recreate fibers on list reorder, losing local state.","ReactInterview::21-common-interview-questions"
"Context re-render problem","Every consumer re-renders on any value change; use external store for high-frequency state.","ReactInterview::21-common-interview-questions"
"<code>useEffect</code> cleanup","Return a function to abort fetches or unsubscribe — prevents memory leaks and race conditions.","ReactInterview::21-common-interview-questions"
"TanStack Query vs Redux for server data","Server state is a caching problem, not a state problem — Query handles staleness, refetch, dedup.","ReactInterview::21-common-interview-questions"
"WCAG AA","The legal-compliance target; A is minimum, AAA is aspirational.","ReactInterview::21-common-interview-questions"
"XSS in React","Auto-escaped in JSX; <code>dangerouslySetInnerHTML</code> and <code>href</code> with <code>javascript:</code> are the gaps.","ReactInterview::21-common-interview-questions"
"JWT in cookie vs localStorage","Cookie with <code>HttpOnly; SameSite=Strict</code> is invisible to JS; localStorage is XSS-vulnerable.","ReactInterview::21-common-interview-questions"
"SSR vs SSG","SSR renders per request (fresh, slower); SSG renders at build time (fast, can be stale).","ReactInterview::21-common-interview-questions"
"<code>useLayoutEffect</code> use case","Reading DOM layout before paint to prevent visual flicker — otherwise use <code>useEffect</code>.","ReactInterview::21-common-interview-questions"
"Debounce vs throttle","Debounce fires after silence; throttle fires at a steady rate.","ReactInterview::21-common-interview-questions"
"Code splitting baseline","<code>React.lazy</code> + <code>Suspense</code> at route boundaries — free and highest impact.","ReactInterview::21-common-interview-questions"
"Testing trophy","More integration tests than unit tests for frontend; e2e for critical paths only.","ReactInterview::21-common-interview-questions"
"Micro-frontends honest answer","They solve org/team autonomy problems, not engineering problems; default to monolith.","ReactInterview::21-common-interview-questions"
"Feature flag benefit","Decouples deployment from release, enabling gradual rollout and instant rollback.","ReactInterview::21-common-interview-questions"
